id;name;description;image;image_content_type;activity_type_id
1201;Bikini body;Az óra célja a teljes test izomzatának formálása, hogy bármikor készen álljunk a strandszezonra! Pörgős zenére végzett, aerobic jellegű, csoportos edzésforma.;../data/blob/training.png;image/png;1151
1202;Popsi-has;Kifejezetten a problémás területeket megdolgoztató edzés, igazán eltökéltekek. Kellő kitartás és rendszeres edzés mellett a formás fenék és az izmos has bárki számára elérhető!;../data/blob/training.png;image/png;1151
1203;HIIT;A külföldön egyre népszerűbb high intensity intervall training egy haladó edzésforma, ahol rendkívül intenzív és pihenő szakaszok váltják egymást. Hatékony zsírégető és izomépítő módszer.;../data/blob/training.png;image/png;1151
1204;Pilates;Lassú zenére végzett, lágy dinamikájú edzésmódszer. Az eredmény karcsú test, feszes izomzat és jó koordináció. Az órát alapos nyújtásssal és relaxációval zárjuk, hogy testünk és lelkünk is ellazuljon.;../data/blob/training.png;image/png;1151
1205;Nyújtás;Akár rendszeresen edzel, akár mozgásszegény életmódot folytatsz, a nyújtás elengedhetetlenül fontos az izmok egyensúlyának megőrzéséhez. Hozzájárul a szervezet megnyugvásához, lelassulásához.;../data/blob/training.png;image/png;1151
1206;Hátmasszázs;Kifejezetten a hát ellazítását célzó masszázskezelés. Oldjuk az izmok feszültségét és a stressz okozta csomókat. Kiváló pihenés a testnek és a léleknek egy fárasztó nap után.;../data/blob/massage.png;image/png;1152
1207;Svédmasszázs;Relaxáló masszázs, cél az egész test és lélek ellazítása. A lágy zene és a kellemes illóolajok is segítik a test megnyugvását és megpihenését a stresszes hétköznapok közepette.;../data/blob/massage.png;image/png;1152
1208;Sportmasszázs;Intenzív masszázskezelés sportolók számára. Cél a fájdalmas pontok megszüntetése erőteljesebb fogások és speciális légzéstechnika alkalmazásával.;../data/blob/massage.png;image/png;1152
1209;Cellulit masszázs;Kiváló módszer a makacs narancsbőr eltüntetésére. Segítjük a felgyülemlett salakanyagok eltávozását a comb és fenék területéről, így simábbá és feszesebbé válik a bőr. 8-10 alkalom után várható látványos javulás.;../data/blob/massage.png;image/png;1152
1210;Kinesio tape;Japán kezelési módszer, ami egyaránt hatékony izomhúzódások és ízületi fájdalmak esetén. Serkenti a test öngyógyulási folyamatait, és fájdalomcsillapító hatásával segít a természetes mozgás visszaszerzésében.;../data/blob/training.png;image/png;1153
